name,key,title,location
AL ITTEFAQ STEEL PRODUCTS CO.,1774f0f6f876c6a1,"Senior Officer, Stores",Dammam
ALAQTAR,32012a69667c6ebc,Financial Analyst,Riyadh
APC Oilfield Services,4c2d7795d62cc606,Cased Hole Log Analyst,Saudi Arabia
Accenture,034bb7c58f2ee277,Strategy Analyst - Health & Public Services,Riyadh
Afaq - Warehouse Branch,f2968cf1aa67a98b,Data Analyst,Riyadh
Akima,cebe7850f5b954ce,CH-47F Quality Control Inspector,Tabuk
AlMosafer,b71e42a4a50e30b0,Data Intelligence Analyst – Officer/Senior Officer,Riyadh
Alfaisal University,4cd77820ebbc9269,DevOps Engineer,Riyadh
Araamis,2877c706d2bb46fb,Business Analyst,Riyadh
Arabic Computer Systems,f8a5e282b620ed7f,Senior Database Developer and Administrator,Riyadh
Arabic Computer Systems,f6bed5737716d459,Full Stack Developer,Riyadh
Arabic Computer Systems,e23fb610fec111d9,System Analyst,Al Majma
Arabic Computer Systems,7feb9daf89026034,GIS Engineer ( Multiply position ),Medina
Arabic Computer Systems,8790ffc7c8d3c2fc,Data Scientist,Riyadh
Arthur D. Little Austria,27d66ceccf2c64ca,Business Analyst - Riyadh,Riyadh
Big Fish Recruitment,79a05938859704bb,Head of IT - Facilities Management,Jeddah
Black Pearl,2144ed59dc31dfbf,Financial Analyst - Clinical Costing,Dammam
Boston Scientific Corporation,1003b1f42aee745b,"Business Analyst, Tenders and Order-to-Cash",Riyadh
Brains Valley,8ebf0dd6de5e30e2,Data Analyst,Riyadh
Chalhoub Group,260acdd5929a1fde,Data Analyst Trainee - Jeddah ( Tamheer Program),Jeddah
Dar Al Riyadh,b4c1f2a245739b20,Data Analyst,Al Hufūf
Dataiku,a7a6946c59a647d2,Sr Customer Success Manager,Riyadh
Deloitte,47c479fdaaa702d8,Risk Advisory | Accounting & Internal Controls | Business Analyst - Saudi National Project,Riyadh
Dentsu Aegis Network,54c4910dabd72e7a,Senior Operational Finance Analyst,Riyadh
EY,e2dd26ba655022e0,Project Finance and Infrastructure Advisory - Senior - KSA National,Riyadh
EY,df49c3450f8c88df,Manager Transfer Pricing - ITTS - KSA - Al Khobar,Al Khobar
EY,e769285fb6e9b7fb,"Planning, Budgeting and Financial Analysis Lead",Riyadh
Edelman,fa3176ab98d052c8,Sr Finance/ Finance Analyst (Arabic Speaker),Riyadh
Elbait Consultants,9d6f6efe88c363df,Cost Control Supervisor,Jeddah
Evalueserve,bd1dd3385f4fcc67,Analyst - EA,Riyadh
Evolvice GmbH,9070d214aaa51de0,Large scale database engineer,Saudi Arabia
Excrin Think Labs,985d0ddc75ae4bf5,Full Stack Developer,Saudi Arabia
Flying Bisons,10c5374574409d52,UX Researcher,Riyadh
Gateway,5da395dcb57ce7e3,Senior Data Scientist,Riyadh
Giza Systems EG,cdb2b1a82417418c,Headway Intern 2024,Riyadh
Globant,bbcaba38eb88ff69,"Data Scientist, Sr Level 3 - KSA",Riyadh
Gulf Business Solutions,10676f7d849b9068,Software Developer Trainee,Riyadh
Gulf Business Solutions,8beedb7e1ff2f571,Senior Systems Analyst,Riyadh
HDR,373036f109ebeba4,Graphic Designer,Riyadh
HDR,68422cdcbcb74949,Graduate Traffic Engineer,Riyadh
HMH,b6eb0ffb6a221f8f,Quality Lead Analyst,Dammam
Help AG,e5a95c2d95fe8625,Cybersecurity Defense Analyst – Specialist,Riyadh
Help AG,260af73e800f730b,Associate Cybersecurity Defense Analyst,Riyadh
Hill International,751207c91dd072f7,Power BI - Database Warehouse Developer,Riyadh
Hill International,d2cfa423ec069ffb,IT Specialist,Riyadh
Honeywell,201a407a66c4f7a3,Senior Business Development Analyst,Dhahran
IBIS,5bc2cd85d222870b,Revenue Analyst,Jeddah
IBM,ba51f46698696f76,Brand Sales Specialist - Data & AI Portfolio,Riyadh
IFC Systems Corporation,3a218cae89beb7cf,E T Consultant - Operational Analyst,Riyadh
"ITT, Inc.",ef26c3fbd58cfbf0,Financial Analyst,Dammam
Infosysta,203e8ad0e2dc3bef,Power BI Analyst,Riyadh
Innovative Solutions,5554938d1acfd45f,Strategy Analyst,Riyadh
InterContinental,a9cc2b8261748aad,Assistant Revenue / Reservations Manager,Ta'if
Islamic Development Bank,19d18c449ecaf22c,Primary Healthcare Specialist (Consultancy),Jeddah
Islamic Development Bank,914cd3bd98e65f64,Portfolio Analyst (Consultancy),Jeddah
Islamic Development Bank,dfd13e9ad7349021,Digital Analyst (Consultancy),Jeddah
Itineris,47ed0543ac3ab224,"Saudi National, Financial Analyst – Riyadh, Saudi Arabia",Riyadh
JLL,3a7fa9c4a443e5aa,Senior Research Analyst,Riyadh
Jadeer,f5b797257d96812f,Data Analyst,Riyadh
Jadeer,228da0f69747ae10,Cybersecurity Analyst,Riyadh
Jadeer,f366944f418da988,Data Engineer,Riyadh
Jadeer,0afbc0fef51a5c83,Business Analyst,Riyadh
Johns Hopkins Aramco Healthcare,99616255c3b4a068,Senior Financial Analyst,Dhahran
Johns Hopkins Aramco Healthcare,d4fcd5dabfd26e85,Senior Business Analyst,Dhahran
Johns Hopkins Aramco Healthcare,82e886899d0e32d6,Human Resources Analyst - HRIS,Dhahran
Johnson & Johnson,1e6049d56c99a3af,Financial Analyst – MEA,Riyadh
Kanerika Software,ebc32382a9b47be9,Incorta BI Developer,Riyadh
Knight Frank,d8e31dd661356e40,Senior Manager - Capital Markets,Riyadh
Lucidya,33ff428eb9752773,Social Media Analyst,Riyadh
"M/S VALUETECH TECHNOLOGY SOLUTION CO. RIYADH, SAUDI ARABIA",6ebbc737e23be360,DATA ANALYST,Saudi Arabia
Mass,c8fc8c5efe99acdd,Weapon Systems Analyst,Riyadh
Master-Works,f10349aeacde2752,Technical lead - IDQ - Saudi.,Riyadh
Mercer,96cc6096d90e3f51,OLIVER WYMAN - CORE CONSULTING GROUP - CONSULTANT DEVELOPEMENT PROGRAM - ANALYST – RIYADH,Riyadh
Microsoft,3f8a0d2637eef842,Cloud Solution Architect - Cybersecurity,Riyadh
Müller`s Solutions,82df2469fa01fc2f,Business Analyst,Riyadh
NOV Inc.,d1fea23368cf9793,Supply Chain Analyst,Jubail
NTT,9eb286054c3ea690,Digital Forensic and Incident Response Consultant,Riyadh
Nahdi,239c0d4a46c75569,Applications Integration Senior Systems Analyst (2022559),Jeddah
Nahdi,265ac4a4150d706d,Financial Planning Analyst Manager (2021793),Jeddah
Nestle Operational Services Worldwide SA,737aa89cdd54b8e0,Business & Performance Planning Analyst,Jeddah
Nice One,2f14f8b011675bdf,Senior Data Engineer,Riyadh
Noon Academy,6d1a3372e4bc078d,Product Associate,Riyadh
Noon Academy,08dbf529ac16589f,Data Analyst,Riyadh
Odyssey,60d8efbd7ddec84a,"CYBERSECURITY ANALYST, SOC L1",Dammam
Parsons,d135ca69f13f4e23,Data Analyst,Riyadh
Parsons,76a971b6419449b9,Principal Budget Analyst,Yanbu' al Bahr
Parsons,0d26f55d87a53d88,Senior Data Analyst,Yanbu' al Bahr
Parsons,4494ff5b9a904d0a,Financial Planning Analyst (Saudi National),Riyadh
Parsons,944628687b741984,Senior Data Analyst - Engineering,Yanbu' al Bahr
Parsons,912d89036ebc9f57,Senior Data Analyst - PMD,Yanbu' al Bahr
PepsiCo,7387498be3d1e7b8,Intern - Sales Analyst,Riyadh
PradeepIT Consulting Services,07f355cc64cea2ab,Business Analyst,Riyadh
PwC,87d62c18e5401156,Forensics - Managed Services - Alert Clearance Analyst - Deals,Riyadh
PwC,c84aba969e6e71e8,Senior “Asset Management” Analyst,Al Khobar
PwC,0cd81b1d88e1b891,Senior Finance Analyst,Al Khobar
Qoyod,4ee9d032b92ddc6e,Data Protection Specialist,Riyadh
Qureos Inc,1f266f1ca30145af,Business Analyst - AlShiaka Co,Jeddah
Qureos Inc,aad7a6cb60cac062,Finance And Administrative Manager - PSC,Riyadh
Qureos Inc,ff1c2c8f3e5d30e4,Revenue Manager - Alhokair Group,Riyadh
RLDatix,49a7fca15c329680,Application Support Analyst,Riyadh
Raytheon,2cb374b2e52c9b05,Logistics Analyst,Jeddah
S&P Global,6d6a343768c4420c,Desktop and Channels Sales Director – Kingdom of Saudi Arabia,Riyadh
S&P Global,f79f7067c2fb11b4,Client Services Manager,Riyadh
S&P Global,d61ffa5d1f7ef686,"Account Manager – Financial Corporates, Corporates & Governments – Kingdom of Saudi Arabia",Riyadh
"S3, Inc.",ba26b3c66a3ea535,AH64E Technical Inspector,Saudi Arabia
"S3, Inc.",fc78345c1f285b80,SR Program Control Analyst,Saudi Arabia
SHC,b48ac68b2fb0e780,Business Analyst,Riyadh
Salla,880820e05ef0c74a,Data Quality Assurance Specialist,Jeddah
Sparc Consulting,1e17940f0b9ecfc3,Analyst,Riyadh
Sweater,20fc62ac4943f651,Product Specialist,Riyadh
Tahaluf,82bbf0e85d05d699,Finance Business Analyst,Riyadh
Tahaluf,9be131ff9dcc7f70,Strategy Analyst,Riyadh
Talent Pal,580c45a9b1ebba4a,Business & Performance Planning Analyst - Nestle...,Jeddah
Talent Pal,be67165da99638be,Senior Data Analyst - PMD - Parsons,Yanbu' al Bahr
Talent Pal,83fbcc146b74692c,Financial Analyst – MEA - Johnson & Johnson,Riyadh
Talent Pal,52cca8f3a9c1264b,Senior Research Analyst - JLL,Riyadh
Talent Pal,3939e9f90bf15d5a,Cybersecurity Analyst - Jadeer,Riyadh
Talent Pal,4c6e390a110569b8,Data Analyst - Parsons,Riyadh
Talent Pal,9da0e356c602f7fc,Data Analyst Trainee - Jeddah ( Tamheer Program) -...,Jeddah
Talent Pal,2d08ec7e9efd3f50,"CYBERSECURITY ANALYST, SOC L1 - Odyssey",Dammam
Talent Pal,e250847be5f580ed,Financial Planning Analyst Manager (2021793) - Nahdi,Jeddah
Talent Pal,4132dae27e4dd1e3,Management Consulting Analyst - CFO & Enterprise Value -...,Riyadh
Talent Pal,87bf0c7c8dd981e2,"Business Analyst, Tenders and Order-to-Cash - Boston...",Riyadh
Talent Pal,69b5fcf679f37825,Data Analyst - Jadeer,Riyadh
Talent Pal,81676147993f9611,Process Engineer - Vanderlande Industries,Dammam
Talent Pal,5367cea37a79de44,Investment Banking Analyst (Saudi Nationals Preferred) -...,Riyadh
Talent Pal,e11d3ebd9fc3186c,Senior Data Engineer - Nice One,Riyadh
Talent Pal,13cfc91b033bb7a0,Principal Budget Analyst - Parsons,Yanbu' al Bahr
Talent Pal,fbd8f4a0f2e85c17,UX Researcher - Flying Bisons,Riyadh
Talent Pal,90018d09ebf65f1a,Technology Strategy Analyst - Accenture,Riyadh
Talent Pal,ba0019238ee929a3,Research Intern - Knight Frank,Jeddah
Talent Pal,05d2f5e861e68bc4,Logistics Analyst - Raytheon,Jeddah
Talent Pal,1565bfd20ab8109a,Strategy Analyst - Health & Public Services - Accenture,Riyadh
Talent Pal,cf7422e5ab294b1c,Applications Integration Senior Systems Analyst (2022559)...,Jeddah
Tamara,f2c431fb157e41df,Senior Analyst - Strategic Finance,Riyadh
Vanderlande Industries,9a35d2ad949450fe,Process Engineer,Dammam
Vectrus,30ef1ede8b89f6d6,Project Control Analyst,Riyadh
Waed Ventures,e5186f55ffe95c82,Investment Analyst,Dhahran
World Bank Group,d939cd6937c4c6b2,E T Consultant - Operational Analyst,Riyadh
"Zeeco, Inc",e11769c95f1c9d3c,IT Data Analyst - Zeeco Middle East - Saudi Arabia,Dammam
aramcoservices,b7f2fcd92735797c,Sustainability Policy & Engagement Specialist,Saudi Arabia
aramcoservices,505713bca16450c9,Investment Analysis Analyst,Saudi Arabia
aramcoservices,e7b6dd273eec2647,Market Analyst,Saudi Arabia
aramcoservices,4701ee37db0c365e,Mergers and Acquisitions Specialist,Saudi Arabia
aramcoservices,37b75e164dbaf8a5,Plng & Perf Mgmt Specialist,Saudi Arabia
aramcoservices,7189801d4c344db7,Business Development Specialist,Saudi Arabia
aramcoservices,ebe25de8980e3d82,Senior IT Systems Analyst (Technical Architect - Communications Domain),Saudi Arabia
aramcoservices,27517104cf28b2eb,Material Procurement / Supply Chain Analyst,Saudi Arabia
aramcoservices,785e8b07b03e2feb,Sr Financial Analyst,Saudi Arabia
aramcoservices,7ba4bb9608dadbc7,Corporate Economist,Saudi Arabia
aramcoservices,e1c6d6f172837a9f,Lead Plng & Perf Mgmt Analyst,Saudi Arabia
aramcoservices,2a7ebdff08784819,Legal Operations Specialist,Saudi Arabia
aramcoservices,39e51120b0a56304,Financial/Actuarial Analyst,Saudi Arabia
aramcoservices,df178a9171ac8cba,Business Development Specialist,Saudi Arabia
aramcoservices,76015d08774e1728,Lead Accounting Analyst,Saudi Arabia
aramcoservices,c8525fc43fd5cc34,Financial Planning & Performance Management Analyst,Saudi Arabia
aramcoservices,aa610c1f5f032eee,Planning and performance management Specialist,Saudi Arabia
dr.CAFE COFFEE,577e2b3f2cda41b5,Sensory Analyst Technician/Q Grader,Riyadh
pladis,378be96873bd8a48,Financial Analyst,Jeddah
webook.com,461bebb9f359e5d5,Business Development Analyst,Riyadh
webook.com,f88d105c549e73aa,Strategic Planning Analyst,Riyadh
البنك السعودي الفرنسي,fee5bec2a3a74b4b,Corporate Analyst - Khobar,Al Khobar
شركة رتاج وشريكة للإستشارات الهندسية,a6aa262d61d905f7,Financial Analyst,Jeddah
