name,key,title,location
ABB,c98bad0222e3737b,"Sales Specialist - NEMA Division, Al-Khobar",Al Khobar
AWS EMEA SARL (Saudi Arabia Branch) - H11,18197b9a2bf666fe,AWS Sales Internship- KSA National,Riyadh
AZAD PROPERTIES,7b6575c20b972595,Property Manager,Riyadh
Accenture,4db393ebcda5d8c8,Security Delivery Manager,Riyadh
Accenture,b385190560840a35,"Business Strategy Manager, Health & Public Sector",Riyadh
AccorHotel,f2bad3a509f164f7,Sales and Marketing Manager - Shaden Resort,Medina
Advanced Sterilization Products,d0e26c6dbd2f3758,Field Service Engineer (Riyadh),Riyadh
Advanced Sterilization Products,c20f740267276490,"Territory Manager (Abha, KSA)",Riyadh
Afaq - Warehouse Branch,24f8253264c62475,"Procurement Manager (Saudi National), AMET",Riyadh
Air Products,ae76cf251cf8c9cb,Contract Administrator,Jizan
Al-Ghazzawi Group of Companies,5b9013c72d92313c,Sales Representative,Jeddah
Alfaisal University,b2b399ed837f277b,Faculty Poistions in Software Engineering,Riyadh
Alhalees Group,b62a406726330ffd,National Sales Manager,Jeddah
Alibaba,0fac3029ad55d335,"Alibaba Cloud Intelligence-Business Development Manager (MEA region)-Riyadh, Saudi Arabia",Riyadh
Amazon Web Services Ltd. Regional Headquarter Co.,8727946cbda21947,"Data Center Operations Cluster Manager (Saudi National Only), DCC Communities",Riyadh
Ant Group,d72c8e2b76601b40,Chief Information Security Officer (CISO) – Saudi Arabia/Middle-East,Riyadh
Arabic Computer Systems,1ace295c6dce1617,Operation and Maintenance Presales,Riyadh
Arabic Computer Systems,8790ffc7c8d3c2fc,Data Scientist,Riyadh
Arabic Computer Systems,fb945b09845a0559,PowerBI engineer,Riyadh
ArabyAds,c5608ffb44650992,Sales Director- Media Vertical,Riyadh
Aram Meem,7ad9c6248aadd7ca,Business Development Manager /Sales ( For Saudi Only),Dammam
Aram Meem,4583578f62675ff6,Campaign Executive,Riyadh
Aram Meem,a37a355463e5cd93,Lead Product Manager,Riyadh
AtkinsRéalis,b7511fc03761e30e,Senior Business Development Manager,Riyadh
AtkinsRéalis,68e63202497fe180,Digital Lead,Riyadh
BAE Systems,6ab6d89047870be4,Director of IM&T – Future Fighter,Riyadh
BIMTEC,d532fc46920baa9e,Business Development Manager,Riyadh
Boston Consulting Group,29e8af810a39353f,"Project Leader, Tech & Digital Advantage - Cybersecurity, Middle East",Riyadh
Bridgestone,169ed2d4eacf2d16,Account Manager- Consumer KSA,Riyadh
CB&I Careers,7c4d6cc5718299ee,Senior Contract Management Specialist,Al Khobar
CLEARPEAKS,61659b0ea7006c32,Administrator,Saudi Arabia
Careem,ccb3dc8d27c0f799,Customer Experience & Growth Specialist,Medina
Cepheid,0d33142cabc11ef4,"Field Service and Applications Specialist - Molecular Diagnostics (Abha, Southern Region)",Abha
Chemdelves,b0b45093034f7a89,Process Safety Solutions,Saudi Arabia
Company: Bureau Veritas,87b9838f9775539a,"Engineer, Sales",Medina
Comprehensive Business Services CBS,cfa15f17d3a73af4,Big Data AI Developer,Dammam
Computer Network Systems,b5bb02a453ca4a20,Autodesk Business Development Manager,Jeddah
Control Risks,3ab2e1dbcf48a013,KSA Graduate Programme,Riyadh
Convertedin,3609e930ccefeefa,Senior Business Developement Executive | KSA,Riyadh
DSV,670c11b926d0c1c7,"Team Leader, Controlling & Pricing Analyst",Tabuk
Danone,31a878af83570591,Healthcare Nutrition Specialist - Al Baha,Jeddah
Dell,ba93e001a9e0897a,Services Presales Consultant (Saudi National),Riyadh
Deloitte,62804e6d684211e5,Consulting | Core Business Operations | Operations Transformation | GPS Manager,Riyadh
Done by Native,f275be9b1297de87,News Media Specialist,Riyadh
DroneShield Limited,53a227f03e436d5a,Sales Manager – Middle East,Saudi Arabia
EY,a6942d9d1edc894f,"Senior Consultant, Archive & Library Specialist, Technical, FAAS, Riyadh",Riyadh
EY,7e5dddd3f490bf9b,Receptionist - Riyadh (KSA nationals),Riyadh
Eaton,02b663dd49ba3dae,Life Safety Service Sales Engineer- Riyadh KSA,Riyadh
Edelman,7b49a40355a7db4c,"Director, Corporate Communications",Riyadh
Emdad Recruitment,bc91ad7832f29156,CCTV Sales Specialist,Riyadh
Emerson,0d12115cf5ab5dca,BDM Pervasive Sensing,Dhahran
Endress and Hauser Arabia LLC,bf515166917e03d6,Senior Sales Engineer,Jeddah
Fama Technologies Pvt Ltd,1c8431adc3c93b68,Sales Executive,Riyadh
Frost & Sullivan,5e2394fafb9352a7,Consultant- Energy & Environment,Riyadh
GSK,a2abe316ba63c9e4,Medical Representative Jeddah,Saudi Arabia
General Dynamics Information Technology,81baf808089f0787,Technical Control Specialist,Saudi Arabia
Giza Systems EG,1945eddd41cc86c9,Senior Presales Consultant,Riyadh
Giza Systems EG,742d271c9c9f665b,Data warehouse and Modeling Expert,Riyadh
Giza Systems EG,c81fa4e6f7b66364,BI Expert,Riyadh
HITACHI ENERGY LTD,61fc872c96348f0b,Digital Lead Saudi Arabia,Riyadh
Help AG,cdf2216ae9e5e687,SIEM Engineer (Splunk),Riyadh
Hexagon Asset Lifecycle Intelligence,67661e936a47a4b9,Implementation Consultant,Al Khobar
Hexagon Asset Lifecycle Intelligence,bdb52037af2ecdd8,Senior Industry Consultant for PSI and CI,Al Khobar
Hexagon Asset Lifecycle Intelligence,f64709edc34c8156,Senior Industry Consultant - Enterprise Asset Management,Al Khobar
Honeywell,2cfe59f85f97b4cb,Senior Sales Account Manager – Smart Metering - Saudi Nationals Only,Riyadh
IBM,4611c1e0c93d6827,Ecosystem Technology Partner Specialist,Riyadh
IBM,f6ba301119abe453,DevOps Engineer,Riyadh
IBM,a06854fc495c8452,Postdoctoral Researcher,Riyadh
IBM,ffd9c84cb2196a3c,Software Developer,Riyadh
IBM,810ee1c4c68715a3,"SAP Consulting Sales Lead (Senior Manager or Director), Saudi Arabia",Riyadh
IBM,bc3eb4abacbfee42,Post Doctoral Research,Riyadh
IBM,70b8dcfbcba4e5b1,Brand Technical Specialist – Super iPaaS,Riyadh
IBM,79a328d052796c2e,Brand Sales Specialist – Super iPaaS,Riyadh
IBM,ba51f46698696f76,Brand Sales Specialist - Data & AI Portfolio,Riyadh
IBM,f387bdad48ebf72f,Delivery Consultant,Riyadh
ILF Consulting Engineers Saudi Arabia,a51e317c753d3911,Human Resources Department Manager,Riyadh
IQVIA,c7cef29ff3e24632,Engagement Manager - Real World Evidence,Riyadh
Ines Partners,b4cdb1a57a229d25,Artificial Intelligence Architect,Jeddah
Innovative Solutions,85bba8bf99d071a3,Threat Detection and Response Level 2,Riyadh
Ipsotek DMCC,bfe060f866473dd5,Country Sales Manager,Riyadh
Ipsotek Ltd,03dcd97d22486a25,Country Manager / Business Development Manager,Riyadh
Islamic Development Bank,784768dfa581e4c0,"Manager, Relationship Management - Private Sector",Jeddah
Islamic Development Bank,dfd13e9ad7349021,Digital Analyst (Consultancy),Jeddah
JASARA PMC,fcdf439ec4e12362,Concierge Lead,Riyadh
JLL,de7eb57438d7de6b,Workspace Operations Engineer,Riyadh
Jadeer,0926ef0bbb2d0a89,AI Engineer,Riyadh
Julphar,67ac245217d90bf7,Medical Representative (KSA - Eastern Region),Saudi Arabia
KBR,a1237b78a12226f7,Business Development Leader in Saudi Arabia,Al Khobar
KEO International Consultants,0f3b201d5aeb47c0,Executive Director - PMCM Services,Riyadh
Kapsarc,3684f32afb07caad,Energy Market Insights,Riyadh
Kitopi,c22c78a93f2916d8,Associate - Quality Assurance,Jeddah
Latham & Watkins LLP,ec24f77cad06c51e,Business Development Manager – Middle East,Riyadh
Lenovo,b36844316465529f,Technical Pre-Sales Consultant – Middle East & Africa,Riyadh
Leo Burnett,760378aa17004fb2,Arabic Copywriter,Riyadh
Leo Burnett,6592b4f6a546c744,Communication Manager,Riyadh
Leo Burnett,6098680f190c8979,Communication Manager,Riyadh
Leo Burnett,b46048a395b7c105,Arabic Copywriter,Riyadh
Lucid Motors,82cf63a0a652497d,Commercial Counsel,Riyadh
Lucidya,791c7d0bd458e39d,Sales Account Executive,Riyadh
Lucidya,a5d6d2fbb7158d5b,Sales Operations & Enablement Specialist,Riyadh
Lucidya,33ff428eb9752773,Media Monitoring Analyst,Riyadh
Lucidya,1c7a8eaf5f30167b,Project Manager,Riyadh
Lucy Electric,e6df639bb2e44b14,Continuous Improvement Engineer,Dammam
Lucy Electric,b682c95905c52476,Contracts Assistant - Supply Chain,Dammam
Lummus Technology,216a064d8e840d07,Business Development Manager,Dammam
